linear params: 227809

Starting epoch 1/20...
  batch 1400/4465 loss 1.5880
  batch 1450/4465 loss 1.5644
  batch 1500/4465 loss 1.4955
  batch 1550/4465 loss 1.5788
  batch 1600/4465 loss 1.5124
  batch 1650/4465 loss 1.6755
  batch 1700/4465 loss 1.4716
  batch 1750/4465 loss 1.4636
  batch 1800/4465 loss 1.6048
  batch 1850/4465 loss 1.6488
  batch 1900/4465 loss 1.6473
  batch 1950/4465 loss 1.5011
  batch 2000/4465 loss 1.5084
  batch 2050/4465 loss 1.4982
  batch 2100/4465 loss 1.7160
  batch 2150/4465 loss 1.6808
  batch 2200/4465 loss 1.5198
  batch 2250/4465 loss 1.5981
  batch 2300/4465 loss 1.4718
  batch 2350/4465 loss 1.5412
  batch 2400/4465 loss 1.4263
  batch 2450/4465 loss 1.4810
  batch 2500/4465 loss 1.5119
  batch 2550/4465 loss 1.4464
  batch 2600/4465 loss 1.3299
  batch 2650/4465 loss 1.6785
  batch 2700/4465 loss 1.6190
  batch 2750/4465 loss 1.6010
  batch 2800/4465 loss 1.5415
  batch 2850/4465 loss 1.4299
  batch 2900/4465 loss 1.4446
  batch 2950/4465 loss 1.5872
  batch 3000/4465 loss 1.5742
  batch 3050/4465 loss 1.5298
  batch 3100/4465 loss 1.6239
  batch 3150/4465 loss 1.5452
  batch 3200/4465 loss 1.4740
  batch 3250/4465 loss 1.5534
  batch 3300/4465 loss 1.6104
  batch 3350/4465 loss 1.5661
  batch 3400/4465 loss 1.6185
  batch 3450/4465 loss 1.5460
  batch 3500/4465 loss 1.5944
  batch 3550/4465 loss 1.5177
  batch 3600/4465 loss 1.5370
  batch 3650/4465 loss 1.4810
  batch 3700/4465 loss 1.4999
  batch 3750/4465 loss 1.5643
  batch 3800/4465 loss 1.5475
  batch 3850/4465 loss 1.5893
  batch 3900/4465 loss 1.5043
  batch 3950/4465 loss 1.5521
  batch 4000/4465 loss 1.4847
  batch 4050/4465 loss 1.6012
  batch 4100/4465 loss 1.3832
  batch 4150/4465 loss 1.5433
